Question,Answer,Unit,Total - Total,Gender - Male,Gender - Female,Age - 18-24,Age - 25-34,Age - 35-44,Age - 45-54,Age - 55-64,Age - 65+,Region - South,Region - West,Region - Mid West,Region - North East,Election 2016 - Donald Trump (Republican),Election 2016 - Hillary Clinton (Democrat),Election 2016 - Other,Election 2016 - Didn't Vote,Election 2020 - Donald J  Trump (Republican),Election 2020 - Joseph R  Biden (Democrat),Election 2020 - Jo Jorgensen (Libertarian),Election 2020 - Howie Hawkins (Green),Election 2020 - Other (Another Third Party/Write-In),Election 2020 - Don’t Know,Election 2020 - Won't Vote
go_vote,0 _very_uncomfortable,pct,0.124596981,0.108868218,0.140370313,0.116266811,0.086707203,0.101517427,0.129846929,0.138501186,0.162179583,0.096282904,0.203993013,0.122070236,0.075432203,0.057066773,0.165215383,0.087115086,0.198786128,0.050557373,0.190874647,0.014250286,0.036658461,0.235377798,0.135705375,0
go_vote,0 _very_uncomfortable,ct,232.9050449,101.8958543,131.0091906,24.11827319,28.87503339,31.33777227,37.47872214,44.07857425,67.01666963,67.53744681,93.37332144,48.24002365,23.75425297,41.3007222,126.8488345,8.065046312,56.69044186,37.42125408,163.6330579,0.654940634,0.906431256,7.073639681,23.21572134,0
go_vote,1_uncomfortable,pct,0.12826887,0.124636802,0.13191123,0.154411873,0.077047212,0.103731174,0.134209517,0.166089352,0.141477285,0.12380153,0.163079334,0.130080019,0.085348952,0.074730774,0.17453166,0.199343412,0.116512636,0.076673414,0.161681431,0.246110842,0.415972782,0.26134202,0.087448409,0
go_vote,1_uncomfortable,ct,239.7687868,116.6545534,123.1142334,32.03104723,25.65808548,32.02114159,38.73792937,52.858622,58.46196111,86.84033062,74.64598325,51.40535005,26.87712286,54.08462415,134.0016725,18.45505665,33.22743346,56.7516688,138.6062922,11.31121058,10.2855036,7.853923787,14.96018784,0
go_vote,2_slightly_uncomfortable,pct,0.126074553,0.110198972,0.141995121,0.198889435,0.129832496,0.112593176,0.088276424,0.106342717,0.138162902,0.114639386,0.129618577,0.154159849,0.111150089,0.076357055,0.153100557,0.228338244,0.146287461,0.069719001,0.160941319,0.198607261,0.215775881,0.095977622,0.168016695,0
go_vote,2_slightly_uncomfortable,ct,235.6670223,103.1413809,132.5256414,41.25742908,43.23651928,34.75678424,25.47990614,33.84400866,57.09237492,80.41356379,59.33005663,60.92127788,35.00212401,55.26160663,117.5473304,21.13937552,41.71870976,51.60419291,137.9718083,9.127954452,5.335357727,2.884346458,28.74336251,0
go_vote,3_slightly_comfortable,pct,0.118589292,0.110363383,0.12683851,0.134409736,0.11673429,0.084355095,0.155129566,0.077086923,0.144157064,0.113656937,0.095177791,0.134204623,0.144009313,0.103547584,0.130864228,0.112810441,0.125590574,0.111018829,0.126871031,0.114695686,0,0.111605394,0.129256018,0
go_vote,3_slightly_comfortable,ct,221.6750687,103.2952625,118.3798062,27.88182359,38.87458479,26.03987149,44.77624466,24.53323152,59.56931266,79.72442644,43.56554335,53.0353213,45.34977761,74.94010595,100.474753,10.44390216,35.8163076,82.17325244,108.764025,5.271393343,0,3.353996637,22.11240124,0
go_vote,4_comfortable,pct,0.179776911,0.193444672,0.166070419,0.103845135,0.221245133,0.19488808,0.167403595,0.185657696,0.177300445,0.18550917,0.144242926,0.179464592,0.219050023,0.217449899,0.154832566,0.173313085,0.153426186,0.214408863,0.164222936,0.233092273,0.130980801,0.107209075,0.113358216,0
go_vote,4_comfortable,ct,336.0510758,181.0556881,154.9953877,21.54153284,73.67854529,60.16068839,48.31899259,59.08632812,73.26498854,130.1250286,66.02403144,70.92126989,68.98074585,157.3742031,118.8771298,16.04518939,43.75455351,158.6998696,140.785074,10.71287951,3.238681841,3.221877227,19.3926936,0
go_vote,5_very_comfortable,pct,0.280131071,0.322929336,0.23721153,0.211363404,0.312437808,0.357642251,0.2895956,0.295474263,0.212285063,0.317114029,0.225672089,0.25127184,0.313126185,0.445642991,0.196236952,0.135323281,0.132972894,0.454391142,0.170580596,0.167625187,0.200612075,0.098679028,0.148742033,0
go_vote,5_very_comfortable,ct,523.6398129,302.2476267,221.3921862,43.84501699,104.0473202,110.4018471,83.58821465,94.03590405,87.72150994,222.4389884,103.2964425,99.29823924,98.60614277,322.523538,150.6665311,12.52812319,37.92162063,336.3285173,146.2353698,7.704023856,4.960411614,2.965529852,25.44596049,0
go_vote,dont_know,pct,0.042562323,0.029558617,0.055602877,0.080813607,0.055995858,0.045272797,0.03553837,0.030847862,0.024437657,0.048996044,0.03821627,0.028748842,0.051883234,0.025204924,0.025218655,0.063756451,0.126424121,0.023231378,0.024828039,0.025618465,0,0.089809064,0.217473254,0
go_vote,dont_know,ct,79.56035266,27.66556291,51.89478975,16.76389525,18.64761188,13.97541938,10.25771409,9.817459404,10.09825265,34.36817538,17.4926584,11.36103984,16.33847903,18.24146574,19.36234352,5.902522217,36.05402118,17.19526266,21.28458691,1.177420093,0,2.698967206,37.20411579,0
